,count,mean,std,min,25%,50%,75%,max
0,408443.0,1.5335529266017538,1.6358908845814477,0.019,0.429,0.743,2.129,12.383
1,408443.0,1.740795268862485,1.7647863694523014,0.202,0.52,0.867,2.845,14.523
2,408443.0,1.1952765012498685,1.473155117029527,0.0,0.401,0.509,0.84,10.502
3,408443.0,1.3530414966102984,1.5492667194397665,0.0,0.315,0.565,2.574,12.443
4,408443.0,1.7977813036335548,1.6264074922697997,0.0,0.768,0.952,3.413,13.74
5,408442.0,1.370731766076946,1.3301964719193597,0.0,0.566,0.891,1.763,12.314
6,408442.0,1.761629080750756,1.7292578221026493,0.153,0.511,0.804,3.501,12.08
7,408442.0,1.6060989810058717,2.1086083582466233,0.0,0.448,0.706,1.807,27.262
8,408442.0,0.8405634141444809,1.2496400049116578,0.002,0.269,0.371,0.638,17.246
9,408442.0,1.6313637162681602,1.5743794746556008,0.199,0.455,0.818,3.071,13.354
10,408442.0,1.340371881442163,1.2901830178591236,0.091,0.394,0.758,2.652,10.454
11,408442.0,1.1870636247006918,1.382165270991541,0.094,0.258,0.356,2.898,8.535
12,408442.0,1.1391351893292068,1.1728871344625598,0.009,0.333,0.6,1.72,9.9
13,408442.0,0.7408263523339913,1.0310724570705,0.036,0.25,0.361,0.515,6.129
14,408442.0,0.9686837372258483,1.1102060243255434,0.075,0.394,0.539,0.779,11.409
15,408442.0,0.9864540962976386,1.2424857285834832,0.152,0.317,0.413,0.789,10.485
16,408442.0,1.8865251443289381,1.535303402981587,0.14,0.719,1.119,3.676,9.852
17,408442.0,1.74622854407725,1.432715384524488,0.0,0.869,1.069,2.717,20.72
18,408442.0,0.9405858334843139,1.2741195387607651,0.0,0.228,0.347,0.767,13.278
19,408442.0,1.1718222881094498,1.5578417275867562,0.004,0.238,0.37,1.65075,14.192
20,408442.0,2.3585615999334055,2.0319757126848916,0.0,0.869,1.383,3.984,14.591
21,408442.0,1.486780754672634,1.7922390450321422,0.016,0.449,0.609,1.339,14.565
22,408442.0,1.3152478785237562,1.4154946853060666,0.055,0.47,0.6,1.411,14.851
23,408442.0,1.1112313351712113,1.252230462565552,0.022,0.351,0.552,1.236,11.281
24,408442.0,0.9936660113308622,0.952316233718772,0.136,0.437,0.646,1.202,10.647
25,408442.0,2.8434913720919988,2.2462041731369156,0.246,1.161,1.976,4.352,18.109
26,408442.0,2.1654753820615906,1.896402734802493,0.144,0.569,1.186,3.862,15.813
27,408442.0,1.7820383750936488,1.4841394437713746,0.117,0.771,1.05,2.25,11.17
28,408442.0,0.6052319301149244,0.8468443912603003,0.065,0.224,0.316,0.453,9.778
29,408442.0,1.700420992454253,1.6814951680523929,0.269,0.453,0.795,3.792,10.296
30,408442.0,1.1162206212877226,1.4842832114581923,0.136,0.33,0.428,0.847,13.432
31,408442.0,0.9852206996342193,1.3128782881655814,-0.105,0.251,0.389,1.039,11.986
32,408442.0,1.285963936128018,1.2957139671899138,0.0,0.447,0.768,1.216,10.374
33,408442.0,1.0170732368365645,1.3048124904496805,0.0,0.221,0.367,1.27775,12.073
34,408442.0,1.2769337555883085,1.0927542734672462,0.004,0.733,0.879,1.273,13.168
35,408442.0,1.42991892606539,1.0297718785782786,0.091,0.548,1.053,2.168,9.005
36,408442.0,1.7440031044799507,1.6130306499539233,0.153,0.74,1.024,2.553,12.933
37,408442.0,1.1825669225985576,1.4510616117960449,0.05,0.27,0.414,1.648,14.185
38,408442.0,1.5754554649130104,1.7114346754947676,0.241,0.406,0.738,2.663,14.866
39,408442.0,1.1038369486977342,1.3343900473662382,0.035,0.289,0.438,1.042,9.012
40,408442.0,0.8410520612473743,0.9957973362588619,0.052,0.268,0.353,0.897,9.277
41,408442.0,1.2087238800123394,1.651715239017736,0.0,0.305,0.424,1.096,14.062
42,408442.0,1.1450600672800544,0.7818558890987564,0.03,0.589,0.781,1.872,38.681
